Date,Latitude,Longitude,WS2M,T2M,T2M_MAX,T2M_MIN,T2MDEW,RH2M,PS,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DIFF,FIRE
19910625,-90.40314553,25.378234925152107,3.09,28.62,28.92,28.34,22.94,71.36,101.65,35.94,24.89,10.42,0
19880112,-76.47852566,46.85419084,1.16,-6.5,-2.2,-10.71,-6.98,99.59,96.92,22.54,4.4,3.6,0
19930217,-66.61537497,30.639176674907194,2.78,19.95,20.48,19.45,13.04,64.47,102.18,32.13,9.47,9.04,0
20030726,-82.41256372,39.15598230316456,0.25,23.65,29.98,16.39,17.87,72.03,99.47,32.3,24.86,9.1,0
19990613,-125.7884891,30.569863720236434,4.58,16.12,16.67,15.57,13.63,85.05,102.26,33.59,19,18.67,0
20001102,-71.72293713,38.091605183715856,9.1,16.24,18.04,15.47,13.07,81.46,101.5,32.87,8.75,7.51,0
19861101,-121.9867441,34.564150542357815,4.15,16.51,17.07,16.05,13.78,83.96,101.93,-999,15.43,1.89,0
20080805,-73.15082963,27.691427619475885,2.78,28.84,29.06,28.65,24.05,75.28,101.86,35.61,26.59,5.28,0
20051027,-113.1948926,30.86843996736936,2.56,22.85,27.69,18.73,12.53,55.08,100.45,30.88,18.19,1.95,0
20130922,-121.7858105,30.196725620360624,7.24,18.82,19.33,18.5,15.44,80.6,101.5,27.86,23.96,3.7,0
19850127,-83.18790432,45.55218690332309,5.87,-4.26,-3.32,-5.54,-6.01,89.68,98.29,21.52,3.28,3.99,0
20030515,-92.72719915,47.12301610536595,3.34,12.16,19.73,3.47,4.22,62.31,97.01,25.21,28.24,5.17,0
19920213,-65.31771862,49.80478675968085,7.67,-12.9,-6.04,-20.23,-13.68,94.36,100.98,19.06,7.1,4.03,0
20190120,-104.2994116,41.268680811457855,3.76,2.98,10.16,-1.37,-3.95,61.74,83.72,22.28,9.41,4.48,0
19931030,-85.08657846,42.21902356351338,2.32,0.66,3.89,-1.03,-1.45,86.37,97.72,24.34,4.78,4.35,0
20021007,-124.7663501,47.580014441830585,3.72,12.37,12.77,11.97,11.89,96.83,102.65,29.5,11.36,5.84,0
19861014,-114.9049385,28.47327159709505,3.78,19.7,20.7,18.91,14.88,73.91,101.45,-999,17.94,7.8,0
20070419,-118.7379681,29.49768466,7.79,13.84,13.95,13.45,9.78,76.43,101.59,26.95,27.78,8.43,0
20201122,-81.16074797,35.75338814,0.67,10.3,15.62,6.51,8.64,89.79,96.99,26.28,7.89,6.66,0
20130815,-104.5232624,41.634566433849415,2.98,21.58,30.37,14,5.52,38.56,84.31,28.48,26.47,4.35,0
20080905,-116.5262097,42.71350027,2.27,15.72,24.25,7.03,-2.1,32.82,84.79,25.68,22.76,7.2,0
20050419,-83.54509745,49.959612055593496,0.22,7.86,13.31,-0.24,6.13,89.29,98.8,29.39,6.31,4.78,0
19951219,-84.34128227,49.20861735749526,0.34,-20.79,-16.99,-26.39,-20.89,99.55,98.38,15.6,4.31,1.55,0
19940819,-83.01019314,35.61935089137228,0.2,20.26,26.44,14.73,15.41,76.64,92.04,31.44,20.86,13.71,0
19900312,-107.3272065,39.96254332838569,2.91,-6.66,-3.65,-10.44,-11.14,72.37,72.98,24.08,15.13,11.28,0
20241215,-112.0944021,46.749014880710966,1.74,-3.46,-1.42,-8.92,-5.54,87.23,83.01,22.22,2.29,-999,0
20231201,-122.377324,37.043456660890406,5.78,13.61,14.18,12.92,10.56,81.81,101.55,26.63,10.21,3.24,0
20161023,-117.654863,39.83805513829969,2.21,14.7,22.68,9.27,-1.3,36.99,84.31,26.18,10.07,8.41,0
20151208,-78.2170266,39.692281180771836,0.42,3.76,10.75,-1.1,1.78,86.6,99.04,23.25,7.89,4.31,0
19890305,-90.03852574,34.57665870219003,4.18,4.9,14.62,-0.87,3.83,93.53,100.13,25.76,2.69,1.43,0
20200606,-85.99825725,28.09787185287649,10.86,26.63,27.54,25.64,24.83,89.74,101,37.16,3.91,2.81,0
20141209,-122.0446886,30.07407995288433,5.46,18.94,19.19,18.5,17.44,90.9,102.09,31.6,9.84,5.38,0
19841224,-104.8925717,38.33973769388334,2.3,-3.35,4.49,-8.01,-10.43,60,78.56,23.05,6.13,4.29,0
20130802,-78.37894286,31.772885532244224,5.46,28.05,28.26,27.52,24.15,79.34,101.69,36.23,23.54,10.15,0
19910303,-77.60134811,41.24022191541456,0.48,8.95,13.93,4.69,8.51,96.22,95.33,23.99,7.35,7.55,0
19850220,-68.88689,48.53720110341142,2.02,-12.42,-11.01,-14.13,-13.83,91.91,101.37,20.01,10.04,4.1,0
20091208,-81.42145614,26.10770537750482,1.37,22.41,27.06,18.9,20.3,88.21,101.61,33.18,11.44,7.34,0
19910804,-79.8570297,38.04138530194392,0,22.2,28.58,15.59,16.54,72.64,93.23,34.28,19.05,16.66,0
20000504,-94.66667778,26.6198629,6.42,24.78,24.93,24.63,22.43,86.63,101.41,32.97,26.07,9.03,0
